id,date,status,system,backend,driver,tool,build_or_version,model,quant,workload,result,structured_csv,raw_evidence,chart,notes
qwen36-35b-mxfp4-think-off,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Lemonade llama.cpp ROCm b9247",ROCm,llama-bench,b9247,"Qwen 3.6 35B-A3B MXFP4","MXFP4","think-off benchmark","82/84; 43.7 tok/s; 628.1 tok/s; nonce 3/3; coding 1/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,
qwen36-35b-mtp-mxfp4,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9360",RADV,llama-server,b9360,"Qwen 3.6 35B MTP MXFP4","MTP MXFP4","speculative MTP benchmark","72.7 tok/s; nonce 3/3; coding PASS; parity with production MXFP4",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"best balanced"
qwen36-35b-mtp-q4km,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9360",RADV,llama-server,b9360,"Qwen 3.6 35B MTP Q4_K_M","MTP Q4_K_M","speculative MTP benchmark","81.2 tok/s; nonce 3/3; coding PASS; 4-2 win vs production MXFP4",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"highest easy-code peak"
qwen36-35b-mtp-iq4xs-q8nextn,unknown,rejected,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9360",RADV,llama-server,b9360,"Qwen 3.6 35B MTP IQ4_XS-Q8nextn","IQ4_XS-Q8nextn","speculative MTP benchmark","~80 tok/s; nonce 3/3; quality 0-6 LOSS; rejected",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"not shipped"
gpt-oss-120b,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9247",RADV,llama-server,b9247,"GPT-OSS-120B","MXFP4","quality battery","43-48 tok/s; nonce 3/3; coding 3/3; pairwise 5-1 vs Qwen 3.5 35B MXFP4, 4-2 vs Qwen 122B-A10B",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"quality tier"
gemma31-plain,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9247",RADV,llama-server,b9247,"Gemma 4 31B IT plain","Q6_K","plain control","8.07 +- 0.22 tok/s decode; 151.28 +- 2.12 tok/s prefill; nonce 3/3; coding 3/3 orchestrated",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"plain control"
gemma31-mtp-block3,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9019",RADV,llama-server,b9019,"Gemma 4 31B IT MTP block 3","assistant head","MTP block 3","20.56/16.03/17.00 tok/s; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"best balanced"
gemma31-mtp-block4,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9019",RADV,llama-server,b9019,"Gemma 4 31B IT MTP block 4","assistant head","MTP block 4","23.51/14.84/16.45 tok/s; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"highest easy-code peak"
gemma31-mtp-block5,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9019",RADV,llama-server,b9019,"Gemma 4 31B IT MTP block 5","assistant head","MTP block 5","19.85/14.78/15.28 tok/s; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"dominated"
gemma26-plain,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9247",RADV,llama-server,b9247,"Gemma 4 26B-A4B plain","Q6_K","plain control","44.76 +- 0.90 tok/s decode; 1002.76 +- 10.29 tok/s prefill; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"plain control"
gemma26-mtp-block3,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9019",RADV,llama-server,b9019,"Gemma 4 26B-A4B MTP block 3","assistant head","MTP block 3","63.23/46.45/45.21 tok/s; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"best balanced"
gemma26-mtp-block4,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9019",RADV,llama-server,b9019,"Gemma 4 26B-A4B MTP block 4","assistant head","MTP block 4","66.07/43.16/44.33 tok/s; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"higher easy-code peak"
gemma26-mtp-block5,unknown,measured-local,"AMD Ryzen AI Max+ 395 / Radeon 8060S (`gfx1151`)","Vulkan/RADV b9019",RADV,llama-server,b9019,"Gemma 4 26B-A4B MTP block 5","assistant head","MTP block 5","70.48/39.70/39.20 tok/s; nonce 3/3",manifest.csv,RAW-BENCHMARK-ROWS.md,n/a,"highest easy-code peak"
