family,variant,exact_model,backend,command_settings,raw_output_summary,notes
Qwen 3.6 35B-A3B MXFP4,think-off,/home/keith/models/qwen3.6-35b-a3b/Qwen3.6-35B-A3B-MXFP4_MOE.gguf,Lemonade llama.cpp ROCm b9247,"scripts/qwen36_agent.sh all or serve; CTX_SIZE=32768 FLASH_ATTN=on BATCH_SIZE=2048 UBATCH_SIZE=2048 PARALLEL=1","82/84; 43.7 tok/s; 628.1 tok/s; nonce 3/3; coding 1/3",
Qwen 3.6 35B MTP MXFP4,think-on,/home/keith/models/qwen3.6-35b-a3b-mtp-mxfp4/Qwen3.6-35B-A3B-MTP-MXFP4_MOE.gguf,Vulkan/RADV b9360,"MODEL=...MTP-MXFP4_MOE.gguf; MTP=on; DRAFT_N=2; UBATCH=1024; POLL=100; THREADS=16; THINKING=true; scripts/qwen36_mtp_vulkan_serve.sh","72.7 tok/s; nonce 3/3; coding PASS; parity with production MXFP4",
Qwen 3.6 35B MTP Q4_K_M,think-on,/home/keith/models/qwen3.6-35b-a3b-mtp-q4km/Qwen3.6-35B-A3B-MTP-Q4_K_M.gguf,Vulkan/RADV b9360,"MODEL=...MTP-Q4_K_M.gguf; MTP=on; DRAFT_N=2; UBATCH=1024; POLL=100; THREADS=16; THINKING=true; scripts/qwen36_mtp_vulkan_serve.sh","81.2 tok/s; nonce 3/3; coding PASS; 4-2 win vs production MXFP4",
Qwen 3.6 35B MTP IQ4_XS-Q8nextn,think-on,/home/keith/models/qwen3.6-35b-a3b-mtp-iq4xs/Qwen3.6-35B-A3B-MTP-IQ4_XS-Q8nextn.gguf,Vulkan/RADV b9360,"MODEL=...IQ4_XS-Q8nextn.gguf; MTP=on; DRAFT_N=2; UBATCH=1024; POLL=100; THREADS=16; THINKING=true; scripts/qwen36_mtp_vulkan_serve.sh","~80 tok/s; nonce 3/3; quality 0-6 LOSS; rejected","not shipped"
GPT-OSS-120B,,gpt-oss-120b-mxfp4-0000{1..3}-of-00003.gguf,Vulkan/RADV b9247,"PORT=8096 CTX_SIZE=32768 REASONING=high scripts/gptoss120_vulkan_serve.sh; --jinja --reasoning-format auto --chat-template-kwargs {\"reasoning_effort\":\"high\"} --batch-size 2048 --ubatch-size 2048 --cache-type-k q8_0 --cache-type-v q8_0 --no-mmap --mlock","43-48 tok/s; nonce 3/3; coding 3/3; pairwise 5-1 vs Qwen 3.5 35B MXFP4, 4-2 vs Qwen 122B-A10B","quality tier"
Gemma 4 31B IT,plain,/home/keith/models/gemma-4-31b/gemma-4-31B-it-Q6_K.gguf,Vulkan/RADV b9247,"THINKING=false scripts/gemma31_vulkan_serve.sh; CTX_SIZE=32768; F16/F16; BATCH=2048; UBATCH=2048; --jinja; --reasoning off","8.07 ± 0.22 tok/s decode; 151.28 ± 2.12 tok/s prefill; nonce 3/3; coding 3/3 orchestrated","plain control"
Gemma 4 31B IT,MTP block 3,/home/keith/models/gemma-4-31b/gemma-4-31B-it-Q6_K.gguf + assistant head,Vulkan/RADV b9019,"DRAFT_BLOCK_SIZE=3 scripts/gemma31_mtp_vulkan_serve.sh; ctx 16384; KV f16/f16; batch/ubatch 512/256; --spec-type mtp --draft-max 16 --draft-min 0 --draft-p-min 0.75","20.56/16.03/17.00 tok/s; nonce 3/3","best balanced"
Gemma 4 31B IT,MTP block 4,/home/keith/models/gemma-4-31b/gemma-4-31B-it-Q6_K.gguf + assistant head,Vulkan/RADV b9019,"DRAFT_BLOCK_SIZE=4 scripts/gemma31_mtp_vulkan_serve.sh; ctx 16384; KV f16/f16; batch/ubatch 512/256; --spec-type mtp --draft-max 16 --draft-min 0 --draft-p-min 0.75","23.51/14.84/16.45 tok/s; nonce 3/3","highest easy-code peak"
Gemma 4 31B IT,MTP block 5,/home/keith/models/gemma-4-31b/gemma-4-31B-it-Q6_K.gguf + assistant head,Vulkan/RADV b9019,"DRAFT_BLOCK_SIZE=5 scripts/gemma31_mtp_vulkan_serve.sh; ctx 16384; KV f16/f16; batch/ubatch 512/256; --spec-type mtp --draft-max 16 --draft-min 0 --draft-p-min 0.75","19.85/14.78/15.28 tok/s; nonce 3/3","dominated"
Gemma 4 26B-A4B,plain,/home/keith/models/gemma-4-26b-a4b/gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,Vulkan/RADV b9247,"THINKING=false scripts/gemma26_vulkan_serve.sh; CTX_SIZE=32768; F16/F16; BATCH=2048; UBATCH=2048; --jinja; --reasoning off","44.76 ± 0.90 tok/s decode; 1002.76 ± 10.29 tok/s prefill; nonce 3/3","plain control"
Gemma 4 26B-A4B,MTP block 3,/home/keith/models/gemma-4-26b-a4b/gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf + assistant head,Vulkan/RADV b9019,"DRAFT_BLOCK_SIZE=3 scripts/gemma26_mtp_vulkan_serve.sh; ctx 16384; KV q8_0/q8_0; batch/ubatch 512/256; --spec-type mtp --draft-max 16 --draft-min 0 --draft-p-min 0.75","63.23/46.45/45.21 tok/s; nonce 3/3","best balanced"
Gemma 4 26B-A4B,MTP block 4,/home/keith/models/gemma-4-26b-a4b/gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf + assistant head,Vulkan/RADV b9019,"DRAFT_BLOCK_SIZE=4 scripts/gemma26_mtp_vulkan_serve.sh; ctx 16384; KV q8_0/q8_0; batch/ubatch 512/256; --spec-type mtp --draft-max 16 --draft-min 0 --draft-p-min 0.75","66.07/43.16/44.33 tok/s; nonce 3/3","higher easy-code peak"
Gemma 4 26B-A4B,MTP block 5,/home/keith/models/gemma-4-26b-a4b/gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf + assistant head,Vulkan/RADV b9019,"DRAFT_BLOCK_SIZE=5 scripts/gemma26_mtp_vulkan_serve.sh; ctx 16384; KV q8_0/q8_0; batch/ubatch 512/256; --spec-type mtp --draft-max 16 --draft-min 0 --draft-p-min 0.75","70.48/39.70/39.20 tok/s; nonce 3/3","highest easy-code peak"
