id,date,status,system,backend,driver,tool,build_or_version,model,quant,workload,result,structured_csv,raw_evidence,chart,notes
qwen36-35b-llama-bench,2026-05-07,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9049 2496f9c14,Qwen3.6 35B-A3B,UD-Q4_K_M,pp512/tg128 llama-bench with separate p512 n0 and p0 n128 r20 runs,62.56 tg128; 1059.45 pp512,data/benchmarks.csv,data/raw/2026-05-07/latest-stack-rerun/clean-b9049-rerun/qwen36-35b-b9049-clean-r20.csv,charts/backend_spot_check.svg,Clean 2026-05-07 latest-stack rerun; rounds to 63 t/s and matches the current headline range.
qwen36-35b-q4-0-speed-first,2026-05-07,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9049 2496f9c14,Qwen3.6 35B-A3B,Q4_0,pp512/tg128 llama-bench r20 with b2048 ub2048,81.30 tg128; 1243.51 pp512,data/max_performance_campaign.csv,data/raw/2026-05-07/max-performance-campaign/benchmarks/qwen36-top-confirm-r20/q4-0-ub2048.csv,n/a,Speed-first lower-quality quant; do not present as the default all-round quality recommendation without a local quality sanity check.
qwen36-mtp-server-speculative,2026-05-27,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-server,b9360 6b4e4bd58,Qwen3.6 35B-A3B MTP,IQ4_XS-Q8nextn,llama-server /completion six-prompt speculative decoding sweep,101.16 t/s best six-prompt average with draft-n=2 poll100 ub1024; t16 repeats 101.15 / 101.10 / 101.06 t/s; best b9360 prompt 117.53 t/s,data/mtp_speculative.csv,data/raw/2026-05-27/latest-llamacpp-b9360/mtp-35b-iq4xs-b9360/,n/a,Experimental server/speculative result with localweights Q8-next-token-head quant on Mesa 26.1.1; this is the first repeat-confirmed local broad 100+ t/s MTP route but still not a direct llama-bench headline.
qwen3-next-80b-llama-bench,2026-05-16,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9172 1348f67c5,Qwen3-Next 80B-A3B,UD-Q4_K_XL,pp512/tg128 llama-bench r20 with b2048 ub1024,59.06 tg128; 751.70 pp512,data/benchmarks.csv,data/raw/2026-05-16/latest-stack-b9172/qwen3-next-confirm-r20/qwen3-next-80b-b9172-ub1024-r20.csv,n/a,Latest-stack b9172 improved this 80B MoE path versus the previous 54.92 t/s b8933 row; Qwen3-Coder/Qwen3.6/gpt-oss did not improve in the same rerun.
gpt-oss-120b-llama-bench,2026-05-07,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-bench,b9049 2496f9c14,gpt-oss-120b,MXFP4 MoE,split GGUF pp512/pp2048/pp8192/pp16384/pp32768/pp65536/tg128 llama-bench,55.57 tg128; 726.99 pp512; 293.73 pp65536 r1,data/max_performance_campaign.csv,data/raw/2026-05-07/max-performance-campaign/benchmarks/gpt-oss-120b-long-context-vulkan/,n/a,117B-parameter open-weight MoE loaded locally from ggml-org split GGUF; performance only; no model quality claim; pp65536 is a one-repeat row.
qwen36-35b-ollama-api,2026-05-07,measured-local,Beelink GTR9 Pro,Ollama Vulkan,RADV,Ollama,0.23.1,Qwen3.6 35B-A3B,Q4_K_M,Ollama /api/generate warm average with num_predict 128,50.51 t/s warm generation average; 158.03 prompt eval t/s,data/benchmarks.csv,data/raw/2026-05-07/latest-stack-rerun/clean-b9049-rerun/ollama-qwen3.6-35b-a3b-0.23.1-api-r10.csv,n/a,10 warm API runs after one cold run; no material change versus Ollama 0.21.2.
qwen36-server-sweep,2026-05-05,measured-local,Beelink GTR9 Pro,Vulkan/RADV and ROCm/gfx1151,RADV and gfx1151,llama-server; Lemonade llamacpp-rocm,b9010 d05fe1d7d; b1259 e77056f,Qwen3.6 35B-A3B,UD-Q4_K_M,OpenAI-compatible streaming completions 1/2/4/8/16 parallel requests,Vulkan wins 1-4 parallel; Lemonade ROCm wins 8-16; best measured 207.81 aggregate t/s at np16,data/server_shootout.csv,data/raw/2026-05-05/server-shootout/full-sweep-qwen36-workstation-baseline/summary.csv,n/a,5 measured reps per concurrency with 0 throughput errors
hip-vulkan-workload-split,2026-05-07,measured-local,Beelink GTR9 Pro,Vulkan/RADV and ROCm/HIP,RADV and gfx1151,llama-bench,b9049 source 2496f9c14,Qwen3.6 35B-A3B; Qwen3-Coder 30B-A3B,Q4_0; UD-Q4_K_XL,pp16384 and tg128 same-source HIP versus Vulkan matrix,HIP won pp16384 on both Qwen rows; Vulkan won tg128 on both Qwen rows,data/max_performance_campaign.csv,data/raw/2026-05-07/max-performance-campaign/benchmarks/same-build-hip-vulkan-b9049/,n/a,HIP binary reports unknown build id because of container git safe-directory but was built from the b9049 source checkout; see BACKEND_CROSSOVER.md
qwen3-coder-server-np8,2026-05-03,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Coder 30B-A3B,UD-Q4_K_XL,continuous batching local API with np8 and 128 generated tokens/request,173.16 aggregate t/s; 0.382 s mean TTFT,data/multi_user.csv,data/raw/2026-05-03/multi-user-coder/qwen3-coder-30b-ud-llama-server-multi-user-summary.csv,charts/multi_user_aggregate.svg,np8 was the best measured serving point; np16 regressed
qwen36-128k-filled-kv,2026-05-03,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,128K filled-KV request with f16 KV and 128 generated tokens,32.23 t/s decode after 128K fill; no truncation,data/filled_kv_decode.csv,data/raw/2026-05-03/filled-kv-decode-128k/filled-kv-decode-128k-summary.csv,charts/filled_kv_decode.svg,Synthetic long prompt; first-turn wall time was 216.69 s
real-vs-synthetic-64k,2026-05-03,measured-local,Beelink GTR9 Pro,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B; Qwen3-Next 80B-A3B,UD-Q4_K_M; UD-Q4_K_XL,64K real guide corpus versus synthetic repeated prompt,real 64K prompt ingest was 24-33% slower; decode after fill barely changed,data/filled_kv_decode.csv,data/raw/2026-05-03/filled-kv-decode-real-corpus/filled-kv-decode-real-corpus-summary.csv,charts/real_vs_synthetic.svg,Prevents overclaiming synthetic repeated-prompt ingest speed
